index,Length,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,clust1,clust2,clust3
0,242013,0.721,0.585,0.436,1.31E-05,0.105,-8.761,0.0601,143.874,0.132,1,0,1
1,198081,0.321,0.677,0.696,0,0.42,-6.181,0.119,90.03,0.464,1,0,1
2,238805,0.44,0.761,0.525,6.70E-06,0.0921,-6.9,0.0944,80.87,0.531,1,0,1
3,298899,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,0.297,1,0,1
4,141805,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,0.478,0,0,0
5,191013,0.0215,0.65,0.825,2.44E-05,0.0936,-4.645,0.0325,118.091,0.593,0,0,0
6,160191,0.112,0.653,0.524,0,0.203,-9.016,0.0502,83.97,0.553,0,0,0
7,154983,0.00226,0.721,0.738,4.41E-06,0.118,-4.77,0.0403,119.976,0.637,0,0,0
8,173710,0.237,0.83,0.585,0,0.248,-6.476,0.094,109.978,0.485,0,0,0
9,200040,0.00146,0.514,0.73,9.54E-05,0.0897,-5.934,0.0598,171.005,0.334,0,0,0
10,174000,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39,0.557,0,0,0
11,178147,0.3,0.556,0.661,0,0.101,-5.052,0.204,168.56,0.668,3,1,0
12,170813,0.0106,0.658,0.634,0,0.132,-5.797,0.0413,139.98,0.29,0,0,0
13,237893,0.264,0.787,0.673,3.35E-06,0.0904,-4.583,0.159,110.962,0.779,0,0,0
14,187453,0.815,0.446,0.395,0.00216,0.128,-9.328,0.0365,71.944,0.267,1,0,1
15,173539,0.227,0.879,0.365,0.135,0.0583,-7.781,0.0924,94.016,0.663,0,0,0
16,233386,0.0592,0.691,0.695,0,0.0647,-5.6,0.0367,106.064,0.514,0,0,0
17,160656,0.0018,0.717,0.671,2.54E-06,0.0921,-5.077,0.0337,110.054,0.699,0,0,0
18,212868,0.317,0.811,0.553,0,0.105,-6.644,0.0552,148.014,0.86,1,0,1
19,214706,0.835,0.392,0.579,0.00179,0.145,-9.195,0.164,80.961,0.549,1,0,1
20,164441,0.00323,0.759,0.459,0,0.0906,-5.187,0.0948,109.997,0.695,0,0,0
21,215507,0.593,0.439,0.61,1.07E-05,0.341,-7.236,0.116,181.088,0.172,1,0,1
22,186173,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,0.436,0,0,0
23,193506,0.0361,0.687,0.781,0,0.0755,-4.806,0.053,97.014,0.688,0,0,0
24,201882,0.36,0.487,0.534,0,0.1,-5.664,0.0555,131.798,0.173,1,0,1
25,183290,0.0123,0.793,0.793,0,0.0951,-4.521,0.083,123.95,0.679,0,0,0
26,235766,0.135,0.626,0.79,3.97E-06,0.0989,-4.302,0.0311,119.082,0.416,0,0,0
27,234000,0.00279,0.542,0.659,0,0.105,-7.289,0.0389,120.122,0.109,0,0,0
28,172324,0.468,0.737,0.802,0,0.0931,-4.771,0.0878,144.015,0.682,1,0,1
29,185480,0.162,0.722,0.752,6.42E-06,0.117,-6.206,0.128,140.097,0.74,0,0,0
30,153190,0.185,0.601,0.741,2.91E-05,0.415,-5.569,0.0478,153.96,0.441,0,0,0
31,210560,0.304,0.664,0.609,0,0.0926,-6.509,0.0707,130.041,0.194,0,0,1
32,212496,0.702,0.526,0.334,0.00782,0.0586,-8.491,0.251,74.966,0.522,1,1,1
33,198040,0.584,0.357,0.425,0,0.322,-7.301,0.0333,102.078,0.27,1,0,1
34,203064,0.00883,0.702,0.825,0,0.0674,-3.787,0.0601,102.977,0.915,0,0,0
35,181026,0.0427,0.842,0.734,0,0.106,-5.065,0.0588,137.958,0.952,0,0,0
36,160028,0.0237,0.788,0.804,0,0.426,-3.285,0.0657,131.815,0.716,0,0,0
37,182653,0.346,0.518,0.683,0,0.311,-5.295,0.0364,141.971,0.304,1,0,1
38,149297,0.879,0.631,0.226,0,0.115,-7.257,0.0396,79.968,0.0765,1,0,1
39,245896,0.937,0.634,0.285,0.000359,0.232,-14.007,0.0807,129.65,0.203,1,0,1
40,182200,0.021,0.672,0.855,0,0.323,-3.764,0.0397,123.056,0.646,0,0,0
41,163923,0.142,0.564,0.868,0,0.389,-4.877,0.221,109.754,0.648,3,1,0
42,184104,0.0297,0.776,0.808,0.000127,0.103,-4.501,0.117,123.988,0.494,0,0,0
43,220433,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,0.498,0,0,0
44,177500,0.428,0.557,0.457,0,0.0567,-5.372,0.0335,105.918,0.328,1,0,1
45,207853,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,0.822,0,0,0
46,220779,0.0145,0.559,0.559,0,0.138,-6.425,0.0358,72.498,0.338,0,0,0
47,208666,0.259,0.764,0.705,8.92E-05,0.12,-3.463,0.0284,110.97,0.781,0,0,0
48,194749,0.393,0.724,0.594,0.00116,0.0889,-7.126,0.102,136.002,0.413,1,0,1
49,190779,0.185,0.685,0.521,3.59E-06,0.111,-8.285,0.0345,115.885,0.578,0,0,0
50,225600,0.00406,0.8,0.837,0.00313,0.0904,-2.807,0.0491,100.015,0.702,0,0,0
51,118400,0.0827,0.71,0.525,0,0.0661,-6.477,0.311,75.171,0.903,3,1,0
52,205164,0.0449,0.497,0.757,0,0.119,-4.189,0.127,169.902,0.507,0,0,0
53,157890,0.0209,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927,0.637,0,0,0
54,190487,0.0219,0.677,0.766,6.81E-06,0.129,-6.896,0.0568,123.062,0.198,0,0,0
55,186805,0.0201,0.591,0.719,3.17E-06,0.906,-7.824,0.215,100.014,0.142,0,1,0
56,183090,0.347,0.715,0.797,0,0.0756,-5.477,0.0637,123.994,0.354,1,0,1
57,202646,0.0347,0.676,0.865,0.000476,0.117,-2.899,0.0412,121.99,0.394,0,0,0
58,180480,0.0221,0.503,0.783,0.00223,0.14,-4.761,0.0385,125.122,0.213,0,0,0
59,150052,0.194,0.669,0.784,6.28E-06,0.115,-5.603,0.112,125.993,0.517,0,0,0
60,255826,0.118,0.619,0.848,0,0.353,-5.084,0.38,113.928,0.752,3,1,0
61,176867,0.0143,0.769,0.719,0.00777,0.359,-5.472,0.0474,121.955,0.863,0,0,0
62,173742,0.161,0.732,0.864,1.34E-05,0.367,-5.94,0.0378,118.032,0.568,0,0,0
63,287120,0.00776,0.762,0.766,6.98E-05,0.128,-3.955,0.0343,130.001,0.442,0,0,0
64,161040,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,0.434,2,2,2
65,149032,0.252,0.642,0.869,0.0288,0.0708,-5.271,0.0452,123.91,0.376,0,0,0
66,177725,0.0166,0.771,0.553,3.78E-05,0.145,-8.741,0.121,115.002,0.484,0,0,0
67,196182,0.00668,0.722,0.784,5.31E-06,0.467,-4.662,0.0819,119.988,0.768,0,0,0
68,249600,0.0503,0.614,0.744,0.00287,0.0853,-5.475,0.0401,100.016,0.202,0,0,0
69,164739,0.128,0.798,0.752,0.0362,0.0795,-5.947,0.227,125.996,0.565,3,1,0
70,144000,0.0295,0.739,0.932,0.000119,0.171,-3.454,0.0632,125.047,0.487,0,0,0
71,159637,0.524,0.872,0.533,6.86E-05,0.298,-4.406,0.204,124.029,0.704,1,1,1
72,163389,0.0206,0.688,0.725,9.18E-06,0.0859,-7.831,0.0456,104.018,0.224,0,0,0
73,158095,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,0.0348,2,2,2
74,169153,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,0.801,0,0,0
75,169944,0.0907,0.836,0.846,0.047,0.057,-4.673,0.0392,122.042,0.942,0,0,0
76,166924,0.0152,0.715,0.778,0,0.121,-6.546,0.0365,123.954,0.756,0,0,0
77,259173,0.0674,0.75,0.819,0.000979,0.308,-6.6,0.151,116.054,0.614,0,0,0
78,164818,0.0301,0.754,0.763,2.23E-05,0.0901,-4.627,0.0435,117.953,0.464,0,0,0
79,202135,0.0233,0.602,0.763,0,0.0938,-3.776,0.059,103.044,0.348,0,0,0
80,167222,0.243,0.791,0.604,1.10E-06,0.166,-3.374,0.0457,108.047,0.31,0,0,0
81,259672,0.0654,0.592,0.874,0.0443,0.0609,-5.122,0.0314,122.003,0.275,0,0,0
82,144391,0.659,0.859,0.558,0.324,0.124,-8.991,0.0902,114.978,0.357,1,2,1
83,230850,0.262,0.816,0.503,0.00114,0.114,-8.338,0.0609,120.019,0.128,0,0,1
84,152941,0.0167,0.579,0.797,0.00645,0.117,-5.776,0.0419,102.02,0.0707,0,0,0
85,165960,0.203,0.675,0.457,0.00588,0.178,-9.728,0.0568,75.045,0.457,0,0,0
86,197388,0.0087,0.618,0.758,0.102,0.147,-7.996,0.0336,120.987,0.144,0,0,0
87,178087,0.0142,0.671,0.782,0.00221,0.333,-4.593,0.0341,123.989,0.618,0,0,0
88,254280,0.393,0.697,0.701,0.0208,0.28,-7.426,0.142,117.986,0.41,1,0,1
89,177466,0.0366,0.85,0.752,0.000709,0.55,-5.389,0.0374,118.994,0.726,0,0,0
90,176658,0.0166,0.527,0.835,0,0.249,-5.298,0.0433,125.983,0.654,0,0,0
91,187029,0.00437,0.671,0.855,0,0.131,-4.254,0.0375,117.98,0.329,0,0,0
92,143952,0.0166,0.818,0.773,7.64E-06,0.377,-5.714,0.0579,122.016,0.878,0,0,0
93,146880,0.0791,0.663,0.849,1.20E-06,0.192,-4.462,0.0334,123.992,0.722,0,0,0
94,192956,0.0618,0.578,0.449,2.17E-06,0.119,-6.349,0.286,136.006,0.1,3,1,0
95,172185,0.045,0.876,0.679,0,0.0987,-4.969,0.355,144.946,0.625,3,1,0
96,279573,0.00496,0.748,0.713,0,0.245,-6.399,0.355,75.591,0.482,3,1,0
97,218801,0.0622,0.597,0.587,0,0.214,-7.026,0.137,140.021,0.0753,0,0,0
98,252069,0.00575,0.711,0.611,0,0.231,-5.453,0.329,134.14,0.144,3,1,0
99,140920,0.232,0.847,0.405,5.37E-06,0.0944,-10.901,0.584,156.999,0.588,3,1,1
100,226652,0.00904,0.798,0.545,9.48E-05,0.258,-6.466,0.168,118.029,0.212,0,0,0
101,161052,0.0225,0.799,0.596,0,0.077,-7.216,0.302,76.009,0.299,3,1,0
102,105377,0.386,0.666,0.643,0,0.283,-7.01,0.423,96.375,0.756,3,1,1
103,138541,0.0012,0.895,0.469,4.56E-05,0.192,-5.882,0.0661,126.917,0.076,0,0,0
104,136899,0.0458,0.912,0.608,0,0.248,-7.686,0.397,136.994,0.327,3,1,0
105,255023,0.0319,0.848,0.625,0,0.101,-5.776,0.11,135.957,0.106,0,0,0
106,257428,0.138,0.596,0.65,0,0.14,-5.167,0.337,133.997,0.188,3,1,0
107,242965,0.0635,0.849,0.424,0,0.0834,-9.579,0.324,145.887,0.153,3,1,0
108,211609,0.0111,0.871,0.49,0,0.167,-8.087,0.287,131.996,0.392,3,1,0
109,180930,0.129,0.582,0.537,0,0.0749,-9.229,0.619,82.103,0.771,3,1,0
110,161052,0.00383,0.681,0.63,0,0.139,-5.585,0.0385,151.951,0.183,0,0,0
111,199706,0.381,0.641,0.598,0,0.0921,-5.7,0.324,131.459,0.285,3,1,1
112,160560,0.0854,0.928,0.361,0,0.121,-8.662,0.292,134.108,0.309,3,1,0
113,278191,0.0312,0.927,0.538,0,0.0945,-3.917,0.116,125.983,0.221,0,0,0
114,243187,0.0466,0.587,0.561,0,0.109,-6.569,0.146,80.009,0.351,0,0,0
115,157355,0.00215,0.697,0.674,0,0.138,-6.326,0.0533,81.535,0.198,0,0,0
116,186283,0.213,0.738,0.885,0,0.098,-4.159,0.126,100.508,0.49,0,0,0
117,218210,0.104,0.861,0.656,0,0.0986,-7.867,0.425,88.967,0.331,3,1,0
118,133804,0.0716,0.754,0.725,0,0.111,-6.002,0.138,192.066,0.691,0,0,0
119,165925,0.41,0.789,0.536,0,0.129,-6.862,0.242,81.039,0.437,1,1,1
120,168727,0.0224,0.807,0.659,0,0.309,-6.92,0.332,82.465,0.438,3,1,0
121,224042,0.116,0.792,0.707,0,0.12,-5.218,0.0623,134.997,0.408,0,0,0
122,257604,0.000619,0.803,0.597,4.50E-06,0.323,-6.035,0.141,136.008,0.331,0,0,0
123,147859,0.468,0.547,0.556,0,0.114,-7.735,0.421,89.261,0.245,3,1,1
124,181714,0.0299,0.781,0.726,0,0.093,-4.213,0.0836,139.988,0.436,0,0,0
125,257368,0.237,0.664,0.692,0,0.0798,-4.128,0.127,154.924,0.233,0,0,0
126,247714,0.0849,0.756,0.698,0,0.221,-5.464,0.178,77.497,0.66,0,0,0
127,227478,0.0631,0.904,0.723,0,0.185,-5.224,0.26,145.013,0.835,3,1,0
128,153406,0.0493,0.833,0.498,0,0.119,-5.196,0.117,139.928,0.259,0,0,0
129,244422,0.178,0.504,0.869,0,0.12,-5.374,0.363,165.766,0.749,3,1,0
130,178431,0.000524,0.811,0.838,2.04E-05,0.0981,-3.637,0.0466,95.008,0.5,0,0,0
131,184489,0.151,0.759,0.538,0,0.126,-8.256,0.384,146.933,0.831,3,1,0
132,206629,0.159,0.797,0.573,0,0.144,-7.85,0.319,124.995,0.445,3,1,0
133,209299,0.179,0.754,0.66,0,0.194,-6.811,0.267,83,0.316,3,1,0
134,251733,0.313,0.871,0.519,8.14E-06,0.0869,-6.549,0.258,140.013,0.532,3,1,1
135,171891,0.157,0.751,0.745,0.000626,0.231,-6.757,0.174,148.017,0.654,0,0,0
136,204346,0.0181,0.84,0.744,0,0.629,-4.751,0.113,83.737,0.171,0,0,0
137,190344,0.0555,0.681,0.687,0,0.062,-7.612,0.332,108.641,0.588,3,1,0
138,186059,0.174,0.559,0.532,0,0.136,-7.679,0.353,85.843,0.529,3,1,0
139,112546,0.161,0.902,0.669,0,0.0728,-5.049,0.457,139.949,0.628,3,1,0
140,169330,0.0909,0.813,0.57,0,0.0982,-8.409,0.265,109.07,0.676,3,1,0
141,178153,0.0136,0.781,0.594,0,0.162,-6.959,0.0485,129.895,0.0628,0,0,0
142,156367,0.0124,0.87,0.561,0,0.103,-10.388,0.186,100.458,0.691,0,1,0
143,204434,0.333,0.784,0.474,0,0.278,-6.139,0.0524,128.012,0.64,1,0,1
144,291175,0.0503,0.666,0.465,0,0.215,-8.545,0.26,167.937,0.292,3,1,0
145,236665,0.0525,0.924,0.73,0,0.113,-6.125,0.274,99.01,0.848,3,1,0
146,177835,0.411,0.705,0.681,0,0.121,-3.286,0.148,164.941,0.626,1,0,1
147,236883,0.0144,0.584,0.859,0,0.847,-5.616,0.121,77.005,0.369,0,0,0
148,200424,0.0898,0.837,0.431,0,0.104,-6.849,0.394,159.872,0.196,3,1,0
149,116760,0.026,0.774,0.412,0,0.088,-8.619,0.378,139.943,0.38,3,1,0
150,207294,0.0357,0.805,0.51,0.000469,0.108,-6.179,0.0569,127.983,0.36,0,0,0
151,157133,0.0172,0.818,0.639,0,0.137,-6.383,0.165,112.955,0.886,0,0,0
152,229413,0.261,0.643,0.413,0,0.117,-6.136,0.0717,170.896,0.572,0,0,0
153,263288,0.0159,0.835,0.691,1.44E-05,0.108,-5.828,0.113,103.999,0.581,0,0,0
154,177720,0.524,0.445,0.468,0.000849,0.112,-8.106,0.0702,87.803,0.444,1,0,1
155,228453,0.393,0.747,0.494,0,0.0982,-7.957,0.141,76.006,0.624,1,0,1
156,220196,0.0107,0.748,0.74,2.18E-05,0.101,-6.01,0.0484,121.004,0.518,0,0,0
157,162069,0.0961,0.654,0.678,1.21E-05,0.108,-4.936,0.0322,92.05,0.415,0,0,0
158,218130,0.145,0.705,0.809,5.75E-05,0.216,-4.484,0.068,107.21,0.508,0,0,0
159,229025,0.303,0.38,0.793,0,0.335,-5.887,0.467,174.007,0.529,3,1,0
160,189905,0.632,0.39,0.607,0.000162,0.138,-8.056,0.303,161.625,0.347,1,1,1
161,209454,0.625,0.821,0.412,1.64E-05,0.0985,-7.795,0.0341,109.977,0.333,1,0,1
162,223815,0.351,0.709,0.43,0.00294,0.155,-8.256,0.41,171.936,0.782,3,1,1
163,279204,0.499,0.436,0.655,8.10E-06,0.688,-8.37,0.0583,121.002,0.412,1,0,1
164,225502,0.264,0.718,0.725,0,0.191,-5.755,0.0387,115.02,0.566,0,0,0
165,299366,0.0252,0.646,0.483,0.0161,0.0887,-9.147,0.0631,143.866,0.407,0,0,0
166,260253,0.111,0.582,0.525,0,0.134,-7.163,0.0627,133.249,0.51,0,0,0
167,205275,0.48,0.677,0.541,0,0.125,-6.057,0.0571,103.369,0.379,1,0,1
168,141520,0.566,0.858,0.435,0.0893,0.106,-9.611,0.116,136.891,0.824,1,0,1
169,182858,0.497,0.565,0.531,1.94E-06,0.102,-6.09,0.197,129.424,0.237,1,1,1
170,151623,0.124,0.239,0.283,0.00392,0.0885,-13.349,0.0413,160.417,0.209,0,0,1
171,185176,0.412,0.432,0.72,0.0281,0.105,-7.095,0.0707,101.068,0.811,1,0,1
172,154497,0.103,0.693,0.553,0,0.171,-5.18,0.0395,133.039,0.317,0,0,0
173,317890,0.751,0.47,0.552,0.0021,0.119,-8.382,0.0351,78.152,0.302,1,0,1
174,161164,0.337,0.692,0.642,0,0.107,-6.68,0.0702,98.096,0.702,1,0,1
175,148778,0.297,0.903,0.535,0,0.345,-6.434,0.0742,130.022,0.508,0,0,0
176,382760,0.455,0.347,0.493,0.00366,0.127,-11.548,0.29,82.887,0.308,3,1,1
177,193279,0.139,0.85,0.658,0,0.063,-5.558,0.221,144.445,0.832,3,1,0
178,165186,0.789,0.476,0.451,0.559,0.0933,-11.495,0.0572,93.822,0.545,1,2,1
179,193821,0.0699,0.442,0.517,0,0.114,-7.807,0.0548,79.867,0.2,0,0,0
180,203173,0.419,0.435,0.559,0,0.106,-6.717,0.0448,78.746,0.33,1,0,1
181,166293,0.0359,0.699,0.521,0,0.137,-8.555,0.0433,140.116,0.812,0,0,0
182,111074,0.0249,0.926,0.497,0,0.0909,-10.821,0.206,121.002,0.55,0,1,0
183,195040,0.439,0.431,0.464,0.0024,0.133,-6.087,0.16,187.663,0.386,1,0,1
184,131743,0.16,0.771,0.654,0.000479,0.128,-2.417,0.05,119.978,0.405,0,0,0
185,248413,0.221,0.545,0.387,0,0.0974,-8.558,0.0541,67.829,0.409,0,0,0
186,145652,0.402,0.638,0.676,1.07E-06,0.171,-5.944,0.22,88.903,0.688,1,1,1
187,175319,0.0264,0.807,0.481,1.28E-06,0.112,-7.362,0.0713,91.005,0.748,0,0,0
188,314853,0.0771,0.552,0.745,0.000141,0.196,-4.814,0.0441,116.091,0.154,0,0,0
189,151444,0.0468,0.334,0.599,0.000392,0.205,-5.742,0.0365,161.74,0.127,0,0,0
190,147828,0.159,0.694,0.475,3.90E-06,0.103,-7.035,0.0345,94.987,0.391,0,0,0
191,227160,0.00506,0.542,0.795,0.019,0.0851,-3.63,0.0368,92.234,0.431,0,0,0
192,135581,0.061,0.74,0.688,0,0.138,-4.361,0.0916,115.035,0.935,0,0,0
193,175643,0.00197,0.544,0.732,5.06E-05,0.486,-5.984,0.0524,124.875,0.45,0,0,0
194,231600,0.0301,0.606,0.62,0.0916,0.167,-5.005,0.0298,88.984,0.543,0,0,0
195,244973,0.591,0.864,0.495,0.000133,0.0992,-7.036,0.037,129.062,0.72,1,0,1
196,266600,0.0206,0.457,0.757,0,0.146,-5.177,0.032,102.961,0.417,0,0,0
197,248826,0.634,0.521,0.277,7.07E-05,0.103,-10.34,0.0356,115.01,0.13,1,0,1
198,242265,0.917,0.38,0.219,0.0104,0.0827,-13.273,0.0358,73.537,0.0517,1,0,1
